ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB
149,Michael,Adams,1963-01-19T00:00:00,Boston College,USA,70.0,165.0,10,23,Guard,3,66,14.7,6.4,2.9
203500,Steven,Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,83.0,265.0,7,12,Center,1,12,8.1,2.0,9.2
912,Rafael,Addison,1964-07-22T00:00:00,Syracuse,USA,80.0,241.0,5,7,Forward,2,39,5.8,0.9,2.1
1628389,Bam,Adebayo,1997-07-18T00:00:00,Kentucky,USA,81.0,255.0,3,13,Center-Forward,1,14,19.2,5.4,9.5
1629061,Deng,Adel,1997-02-01T00:00:00,Louisville,South Sudan,79.0,200.0,1,32,Forward,Undrafted,Undrafted,1.7,0.3,1.0
76015,Rick,Adelman,1946-06-16T00:00:00,Loyola-Marymount,USA,74.0,175.0,6,5,Guard,7,79,7.7,3.5,2.4
202399,Jeff,Adrien,1986-02-10T00:00:00,Connecticut,USA,,,5,,,Undrafted,Undrafted,4.6,0.7,4.3
201167,Arron,Afflalo,1985-10-15T00:00:00,UCLA,USA,77.0,210.0,11,4,Guard,1,27,10.8,1.8,2.9
200772,Maurice,Ager,1984-02-09T00:00:00,Michigan State,USA,77.0,202.0,3,,Forward-Guard,1,28,2.1,0.2,0.6
76016,Mark,Aguirre,1959-12-10T00:00:00,DePaul,USA,78.0,232.0,12,7,Forward,1,1,20.0,3.1,5.0
201336,Blake,Ahearn,1984-05-27T00:00:00,Missouri State,USA,74.0,190.0,3,2,Guard,Undrafted,Undrafted,4.6,1.2,1.2
76017,Danny,Ainge,1959-03-17T00:00:00,Brigham Young,USA,77.0,175.0,13,22,Guard,2,31,11.5,4.0,2.7
201582,Alexis,Ajinca,1988-05-06T00:00:00,Hyeres-Toulon,France,86.0,248.0,7,42,Center,1,20,5.3,0.5,3.9
76018,Henry,Akin,1944-07-31T00:00:00,Morehead State,USA,82.0,225.0,1,10,Center,2,11,3.5,0.5,2.1
203006,Josh,Akognon,1986-02-10T00:00:00,California State-Fullerton,USA,71.0,185.0,1,10,Guard,Undrafted,Undrafted,1.7,0.3,0.3
1629152,DeVaughn,Akoon-Purcell,1993-06-05T00:00:00,Illinois State,Trinidad and Tobago,78.0,200.0,1,,Guard-Forward,Undrafted,Undrafted,1.0,0.9,0.6
202374,Solomon,Alabi,1988-03-21T00:00:00,Florida State,Nigeria,85.0,252.0,2,50,Center,2,50,1.5,0.2,2.3
76019,Mark,Alarie,1963-12-11T00:00:00,Duke,USA,80.0,217.0,4,31,Forward,1,18,7.5,1.1,3.4
76020,Gary,Alcorn,1936-10-08T00:00:00,Fresno State,USA,81.0,225.0,1,24,Center,3,16,3.3,0.3,4.2
203128,Furkan,Aldemir,1991-08-09T00:00:00,Galatasaray,Turkey,82.0,240.0,1,19,Forward-Center,2,53,2.3,0.7,4.3
202332,Cole,Aldrich,1988-10-31T00:00:00,Kansas,USA,83.0,253.0,8,45,Center,1,11,3.1,0.5,3.3
200746,LaMarcus,Aldridge,1985-07-19T00:00:00,Texas,USA,83.0,250.0,14,12,Center-Forward,1,2,13.7,1.7,4.5
76021,Chuck,Aleksinas,1959-02-26T00:00:00,Connecticut,USA,83.0,260.0,0,50,Center,4,76,5.1,0.5,3.6
1626146,Cliff,Alexander,1995-11-16T00:00:00,Kansas,USA,80.0,240.0,1,34,Forward,Undrafted,Undrafted,1.3,0.0,0.8
724,Cory,Alexander,1973-06-22T00:00:00,Virginia,USA,73.0,190.0,7,12,Guard,1,29,5.5,2.7,1.6
2042,Courtney,Alexander,1977-04-27T00:00:00,Fresno State,USA,77.0,205.0,3,32,Guard,1,13,9.0,1.2,2.2
76022,Gary,Alexander,1969-11-01T00:00:00,South Florida,USA,79.0,240.0,0,16,Forward,Undrafted,Undrafted,1.7,0.2,1.4
201570,Joe,Alexander,1986-12-26T00:00:00,West Virginia,USA,80.0,230.0,2,20,Forward,1,8,4.2,0.7,1.8
1629734,Kyle,Alexander,1996-10-21T00:00:00,Tennessee,Canada,82.0,216.0,1,17,Forward-Center,Undrafted,Undrafted,1.0,0.0,1.5
2349,Victor,Alexander,1969-08-31T00:00:00,Iowa State,USA,82.0,265.0,4,9,Forward,1,17,8.9,0.9,4.8
1629638,Nickeil,Alexander-Walker,1998-09-02T00:00:00,Virginia Tech,Canada,78.0,205.0,1,6,Guard,1,17,9.2,1.9,2.8
76024,Steve,Alford,1964-11-23T00:00:00,Indiana,USA,74.0,183.0,3,4,Guard,2,26,4.4,1.0,0.9
1628959,Rawle,Alkins,1997-10-29T00:00:00,Arizona,USA,77.0,225.0,1,20,Guard,Undrafted,Undrafted,3.7,1.3,2.6
76028,Bob,Allen,1946-07-17T00:00:00,Marshall,USA,81.0,205.0,0,50,Forward,6,71,1.8,0.4,2.1
1628960,Grayson,Allen,1995-10-08T00:00:00,Duke,USA,76.0,198.0,2,3,Guard,1,21,9.5,2.1,3.1
1628386,Jarrett,Allen,1998-04-21T00:00:00,Texas,USA,83.0,243.0,3,31,Center,1,22,12.9,1.6,9.9
706,Jerome,Allen,1973-01-28T00:00:00,Pennsylvania,USA,76.0,184.0,1,53,Guard,2,49,2.9,1.7,1.1
1628443,Kadeem,Allen,1993-01-15T00:00:00,Arizona,USA,73.0,200.0,2,,Guard,2,53,5.5,2.3,1.5
202730,Lavoy,Allen,1989-02-04T00:00:00,Temple,USA,81.0,260.0,6,5,Forward-Center,2,50,4.8,1.0,4.8
76027,Lucius,Allen,1947-09-26T00:00:00,UCLA,USA,74.0,175.0,9,42,Guard,1,3,13.4,4.5,3.1
2124,Malik,Allen,1978-06-27T00:00:00,Villanova,USA,82.0,255.0,10,35,Forward,Undrafted,Undrafted,4.9,0.5,2.8
76025,Randy,Allen,1965-01-26T00:00:00,Florida State,USA,80.0,220.0,1,33,Forward,Undrafted,Undrafted,3.6,0.3,2.1
951,Ray,Allen,1975-07-20T00:00:00,Connecticut,USA,77.0,205.0,17,34,Guard,1,5,18.9,3.4,4.1
2754,Tony,Allen,1982-01-11T00:00:00,Oklahoma State,USA,76.0,213.0,13,,Guard-Forward,1,25,8.1,1.3,3.5
76029,Odis,Allison,1949-10-02T00:00:00,UNLV,USA,78.0,195.0,0,22,Forward,5,76,1.9,0.3,1.3
200984,Lance,Allred,1981-02-02T00:00:00,Weber State,USA,83.0,250.0,1,41,Center,Undrafted,Undrafted,1.0,0.0,0.3
76030,Darrell,Allums,1958-09-12T00:00:00,UCLA,USA,80.0,220.0,0,32,Forward,5,103,2.7,1.1,3.0
201165,Morris,Almond,1985-02-02T00:00:00,Rice,USA,78.0,225.0,3,21,Guard,1,25,3.1,0.3,1.2
308,Derrick,Alston,1972-08-20T00:00:00,Duquesne,USA,83.0,225.0,2,,Center,2,33,5.4,0.7,3.8
1747,Rafer,Alston,1976-07-24T00:00:00,Fresno State,USA,74.0,175.0,10,11,Guard,2,39,10.1,4.8,2.8
1824,Peter,Aluma,1973-04-26T00:00:00,Liberty,USA,82.0,260.0,0,,Center,Undrafted,Undrafted,1.0,0.0,1.0
680,John,Amaechi,1970-11-26T00:00:00,Penn State,United Kingdom,82.0,270.0,5,13,Forward-Center,Undrafted,Undrafted,6.2,0.8,2.6
732,Ashraf,Amaya,1971-11-23T00:00:00,Southern Illinois,USA,80.0,230.0,1,,Forward,Undrafted,Undrafted,4.5,0.4,4.2
202329,Al-Farouq,Aminu,1990-09-21T00:00:00,Wake Forest,USA,80.0,220.0,10,2,Forward,1,8,5.4,1.8,5.1
200811,Lou,Amundson,1982-12-07T00:00:00,UNLV,USA,81.0,220.0,10,17,Forward,Undrafted,Undrafted,3.7,0.4,3.6
76034,Bob,Anderegg,1937-08-24T00:00:00,Michigan State,USA,75.0,200.0,0,18,Forward,3,20,4.0,0.9,2.1
2365,Chris,Andersen,1978-07-07T00:00:00,Blinn J.C.,USA,82.0,245.0,14,,Forward-Center,Undrafted,Undrafted,5.4,0.5,5.0
2431,David,Andersen,1980-06-23T00:00:00,FC Barcelona,Australia,,,19,,,2,36,4.9,0.6,2.8
101187,Alan,Anderson,1982-10-16T00:00:00,Michigan State,USA,78.0,220.0,8,9,Forward-Guard,Undrafted,Undrafted,7.3,1.1,2.2
202079,Antonio,Anderson,1985-06-05T00:00:00,Memphis,USA,78.0,215.0,1,,Guard,Undrafted,Undrafted,2.0,0.0,1.0
76035,Cliff,Anderson,1944-09-07T00:00:00,St. Joseph's (PA),USA,74.0,200.0,2,26,Guard,4,35,3.0,0.8,1.3
76036,Daniel,Anderson,1951-01-01T00:00:00,Southern California,USA,74.0,185.0,1,33,Guard,6,92,3.7,1.7,1.0
1507,Derek,Anderson,1974-07-18T00:00:00,Kentucky,USA,77.0,195.0,11,1,Guard,1,13,12.0,3.4,3.2
76037,Dwight,Anderson,1960-12-28T00:00:00,Southern California,USA,75.0,185.0,0,20,Guard,2,41,4.2,0.6,0.4
944,Eric,Anderson,1970-05-26T00:00:00,Indiana,USA,81.0,220.0,1,42,Forward,Undrafted,Undrafted,1.6,0.2,1.1
246,Greg,Anderson,1964-06-22T00:00:00,Houston,USA,82.0,250.0,9,0,Center-Forward,1,23,7.3,0.6,6.2
202341,James,Anderson,1989-03-25T00:00:00,Oklahoma State,USA,78.0,213.0,5,5,Guard-Forward,1,20,5.8,1.2,2.3
76040,Jerome,Anderson,1953-10-09T00:00:00,West Virginia,USA,77.0,195.0,1,21-23,Guard,3,53,2.6,0.3,0.5
1626147,Justin,Anderson,1993-11-19T00:00:00,Virginia,USA,77.0,231.0,5,10,Forward-Guard,1,21,5.2,0.7,2.5
72,Kenny,Anderson,1970-10-09T00:00:00,Georgia Tech,USA,73.0,168.0,13,,Guard,1,2,12.6,6.1,3.1
76041,Kim,Anderson,1955-05-12T00:00:00,Missouri,USA,79.0,200.0,0,42,Forward,7,146,3.0,0.7,2.1
203937,Kyle,Anderson,1993-09-20T00:00:00,UCLA,USA,81.0,230.0,6,1,Forward-Guard,1,30,12.8,3.4,5.8
76042,Michael,Anderson,1966-03-23T00:00:00,Drexel,USA,71.0,184.0,0,10,Guard,3,73,5.7,4.3,2.5
76043,Mitchell,Anderson,1960-09-23T00:00:00,Bradley,USA,80.0,195.0,2,11,Forward,2,36,4.8,0.7,2.8
98,Nick,Anderson,1968-01-20T00:00:00,Illinois,USA,78.0,228.0,13,5,Forward-Guard,1,11,14.4,2.6,5.1
76045,Richard,Anderson,1960-11-19T00:00:00,California-Santa Barbara,USA,82.0,240.0,5,35,Forward,2,32,5.6,1.5,3.5
76046,Ron,Anderson,1958-10-15T00:00:00,Fresno State,USA,79.0,215.0,9,35,Forward,2,27,10.6,1.4,3.5
201583,Ryan,Anderson,1988-05-06T00:00:00,California,USA,81.0,240.0,11,,Forward,1,21,12.3,0.9,5.3
1000,Shandon,Anderson,1973-12-31T00:00:00,Georgia,USA,78.0,215.0,9,49,Guard-Forward,2,54,7.4,1.4,3.1
335,Willie,Anderson,1967-01-08T00:00:00,Georgia,USA,80.0,200.0,8,35,Guard-Forward,1,10,12.2,3.8,3.8
76048,Wally,Anderzunas,1946-01-11T00:00:00,Creighton,USA,79.0,220.0,0,21,Center,2,25,3.6,0.2,1.9
101149,Martynas,Andriuskevicius,1986-03-12T00:00:00,Zalgiris,Lithuania,86.0,240.0,1,15,Center,2,44,0.0,0.0,0.7
76049,Don,Anielak,1930-11-01T00:00:00,Missouri State,USA,79.0,190.0,0,12,Forward,3,26,3.0,0.0,2.0
1628387,Ike,Anigbogu,1998-10-16T00:00:00,UCLA,USA,82.0,250.0,2,,Center,2,47,0.9,0.1,0.9
76050,Michael,Ansley,1967-02-08T00:00:00,Alabama,USA,79.0,225.0,2,54,Forward,2,37,6.9,0.4,4.2
1512,Chris,Anstey,1975-01-01T00:00:00,South East Melbourne,Australia,84.0,249.0,2,22,Center,1,18,5.2,0.8,3.4
203507,Giannis,Antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,83.0,242.0,7,34,Forward,1,15,29.0,6.4,11.7
1628961,Kostas,Antetokounmpo,1997-11-20T00:00:00,Dayton,Greece,82.0,200.0,2,37,Forward,2,60,1.2,0.0,1.8
203648,Thanasis,Antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,78.0,219.0,2,43,Forward,2,51,2.2,0.7,2.0
2546,Carmelo,Anthony,1984-05-29T00:00:00,Syracuse,USA,79.0,238.0,17,00,Forward,1,3,14.0,1.7,3.3
21,Greg,Anthony,1967-11-15T00:00:00,UNLV,USA,73.0,180.0,10,50,Guard,1,12,7.3,4.0,1.9
201202,Joel,Anthony,1982-08-09T00:00:00,UNLV,Canada,81.0,245.0,10,30,Center,Undrafted,Undrafted,2.2,0.2,2.8
203544,Pero,Antic,1982-07-29T00:00:00,Olympiacos,Macedonia,83.0,260.0,1,6,Forward-Center,Undrafted,Undrafted,6.3,0.9,3.5
1628384,OG,Anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,79.0,232.0,3,3,Forward,1,23,14.0,1.6,5.7
203951,Keith,Appling,1992-02-13T00:00:00,Michigan State,USA,73.0,185.0,0,,Guard,Undrafted,Undrafted,1.2,0.2,0.2
2737,Rafael,Araujo,1980-08-12T00:00:00,Brigham Young,Brazil,83.0,270.0,3,55,Center,1,8,2.8,0.3,2.8
76053,Stacey,Arceneaux,1936-02-17T00:00:00,Iowa State,USA,76.0,210.0,0, ,Forward,Undrafted,Undrafted,7.1,0.6,4.6
76054,Nate,Archibald,1948-09-02T00:00:00,Texas-El Paso,USA,73.0,150.0,12,1,Guard,2,19,18.8,7.4,2.3
2425,Robert,Archibald,1980-03-29T00:00:00,Illinois,Scotland,83.0,250.0,2,34,Forward,2,31,1.2,0.4,1.6
1627853,Ryan,Arcidiacono,1994-03-26T00:00:00,Villanova,USA,75.0,195.0,3,51,Guard,Undrafted,Undrafted,3.2,1.2,1.6
76055,Jim,Ard,1948-09-19T00:00:00,Cincinnati,USA,81.0,215.0,3,34,Center,1,6,3.5,0.7,3.8
2240,Gilbert,Arenas,1982-01-06T00:00:00,Arizona,USA,76.0,215.0,11,10,Guard,2,30,20.7,5.3,3.9
2772,Trevor,Ariza,1985-06-30T00:00:00,UCLA,USA,80.0,215.0,16,0,Forward,2,43,4.0,1.0,3.3
76056,Paul,Arizin,1928-04-09T00:00:00,Villanova,USA,76.0,190.0,9,11,Forward,None,None,22.8,2.3,8.6
76057,Joe,Arlauckas,1965-07-20T00:00:00,Niagara,USA,81.0,230.0,0,53,Forward,4,74,3.8,0.9,1.4
769,B.J.,Armstrong,1967-09-09T00:00:00,Iowa,USA,74.0,185.0,10,11,Guard,1,18,9.8,3.3,1.8
76061,Bob,Armstrong,1933-06-17T00:00:00,Michigan State,USA,80.0,220.0,0,19,Center,None,None,1.5,0.2,2.1
2220,Brandon,Armstrong,1980-06-16T00:00:00,Pepperdine,USA,77.0,185.0,3,1,Guard,1,23,2.2,0.2,0.6
353,Darrell,Armstrong,1968-06-22T00:00:00,Fayetteville State,USA,73.0,180.0,14,10,Guard,Undrafted,Undrafted,9.2,4.0,2.7
200756,Hilton,Armstrong,1984-11-23T00:00:00,Connecticut,USA,83.0,235.0,5,57,Forward-Center,1,12,3.0,0.3,2.6
76060,Paul,Armstrong,1918-11-01T00:00:00,Indiana,USA,71.0,170.0,2,3,Guard,Undrafted,Undrafted,6.8,2.3,2.3
76059,Tate,Armstrong,1955-10-05T00:00:00,Duke,USA,75.0,175.0,1,14,Guard,1,13,3.8,1.1,1.0
76062,Jesse,Arnelle,1933-12-30T00:00:00,Penn State,USA,77.0,220.0,0,15-18,Forward,2,13,4.7,0.6,5.5
76063,Jay,Arnette,1938-12-19T00:00:00,Texas,USA,74.0,175.0,2,21,Guard,2,9,3.7,1.2,1.0
76064,Bob,Arnzen,1947-11-03T00:00:00,Notre Dame,USA,77.0,205.0,0,21-30,Forward,8,103,5.5,0.4,2.8
2306,Carlos,Arroyo,1979-07-30T00:00:00,Florida International,Puerto Rico,74.0,200.0,9,45,Guard,Undrafted,Undrafted,6.6,3.1,1.7
201589,Darrell,Arthur,1988-03-25T00:00:00,Kansas,USA,81.0,235.0,9,00,Forward,1,27,6.5,0.8,3.5
76065,John,Arthurs,1947-08-15T00:00:00,Tulane,USA,76.0,185.0,0,12,Guard,6,73,3.2,1.5,1.3
1628503,Jamel,Artis,1993-01-12T00:00:00,Pittsburgh,USA,79.0,213.0,1,0,Guard,Undrafted,Undrafted,5.1,1.2,2.5
201600,Omer,Asik,1986-07-04T00:00:00,Fenerbahce,Turkey,84.0,255.0,8,3,Center,2,36,5.3,0.6,7.1
355,Vincent,Askew,1966-02-28T00:00:00,Memphis,USA,78.0,210.0,8,,Guard,2,39,7.1,2.2,2.5
173,Keith,Askins,1967-12-15T00:00:00,Alabama,USA,80.0,215.0,8,2,Forward-Guard,Undrafted,Undrafted,3.8,0.8,2.9
76068,Don,Asmonga,1928-02-15T00:00:00,Alliance,USA,74.0,185.0,0,,Guard,Undrafted,Undrafted,0.7,0.7,0.1
76069,Richard,Atha,1931-09-21T00:00:00,Indiana State,USA,74.0,190.0,1,7,Guard,None,None,3.2,1.2,1.5
1088,Chucky,Atkins,1974-08-14T00:00:00,South Florida,USA,71.0,185.0,11,17,Guard,Undrafted,Undrafted,9.9,3.4,1.7
76070,Alvin,Attles,1936-11-07T00:00:00,North Carolina A&T,USA,73.0,175.0,10,16,Guard,5,39,8.9,3.5,3.5
76071,Chet,Aubuchon,1916-05-08T00:00:00,Michigan State,USA,70.0,137.0,0,,Guard,Undrafted,Undrafted,2.2,0.7,
278,Stacey,Augmon,1968-08-01T00:00:00,UNLV,USA,80.0,213.0,15,2,Forward-Guard,1,9,8.0,1.6,3.2
201571,D.J.,Augustin,1987-11-10T00:00:00,Texas,USA,71.0,183.0,12,14,Guard,1,9,6.1,3.0,1.4
200788,James,Augustine,1984-02-27T00:00:00,Illinois,USA,82.0,235.0,1,40,Forward,2,41,1.6,0.1,1.2
1134,Ike,Austin,1969-08-18T00:00:00,Arizona State,USA,82.0,288.0,8,,Center,2,48,7.6,1.2,4.7
76073,John,Austin,1944-08-31T00:00:00,Boston College,USA,72.0,170.0,0,34,Guard,4,38,5.8,1.0,1.8
76074,Ken,Austin,1961-07-15T00:00:00,Rice,USA,81.0,205.0,0,34,Forward,5,101,1.7,0.1,0.4
138,Anthony,Avent,1969-10-18T00:00:00,Seton Hall,USA,81.0,240.0,5,30,Center,1,15,5.6,0.8,4.5
76076,William,Averitt,1952-07-22T00:00:00,Pepperdine,USA,74.0,170.0,1,15,Guard,4,55,8.3,2.5,1.2
1895,William,Avery,1979-08-08T00:00:00,Duke,USA,74.0,180.0,3,30,Guard,1,14,2.7,1.4,0.7
76078,Dennis,Awtrey,1948-02-22T00:00:00,Santa Clara,USA,82.0,235.0,11,20,Center,3,46,4.8,2.0,4.6
202970,Gustavo,Ayon,1985-04-01T00:00:00,Baloncesto Fuenlabrada,Mexico,,,2,,,Undrafted,Undrafted,4.7,1.3,4.4
201965,Jeff,Ayres,1987-04-29T00:00:00,Arizona State,USA,81.0,250.0,6,19,Forward-Center,2,31,2.9,0.4,2.7
1629028,Deandre,Ayton,1998-07-23T00:00:00,Arizona,Bahamas,83.0,250.0,2,22,Center,1,1,14.5,1.6,11.0
101235,Kelenna,Azubuike,1983-12-16T00:00:00,Kentucky,United Kingdom,77.0,215.0,4,4,Guard,Undrafted,Undrafted,10.5,1.1,4.0
203569,Chris,Babb,1990-02-14T00:00:00,Iowa State,USA,77.0,225.0,2,52,Guard,Undrafted,Undrafted,1.6,0.2,1.2
202337,Luke,Babbitt,1989-06-20T00:00:00,Nevada-Reno,USA,81.0,225.0,8,22,Forward,1,16,4.8,0.6,2.2
76079,Milos,Babic,1968-11-23T00:00:00,Tennessee Tech,USA,84.0,240.0,1,00,Center,2,50,1.8,0.5,1.0
76080,Johnny,Bach,1924-07-10T00:00:00,Fordham,USA,74.0,180.0,0,17,Forward,None,None,3.5,0.7,
1628407,Dwayne,Bacon,1995-08-30T00:00:00,Florida State,USA,78.0,221.0,3,8,Guard-Forward,2,40,9.9,1.1,2.8
76081,Jim,Baechtold,1927-12-09T00:00:00,Eastern Kentucky,USA,76.0,205.0,4,10,Forward,1,2,9.7,2.1,3.1
2053,Dalibor,Bagaric,1980-07-02T00:00:00,Benston Zagreb,Croatia,85.0,290.0,3,11,Center,1,24,2.6,0.4,2.5
76082,John,Bagley,1960-04-23T00:00:00,Boston College,USA,72.0,185.0,10,5,Guard,1,12,8.7,6.0,2.6
1628963,Marvin,Bagley III,1999-03-14T00:00:00,Duke,USA,83.0,235.0,2,35,Forward,1,2,13.9,0.9,7.4
76084,Carl,Bailey,1958-04-23T00:00:00,Tuskegee,USA,84.0,210.0,0,21,Center,3,66,2.0,0.0,0.0
76083,Gus,Bailey,1951-02-18T00:00:00,Texas-El Paso,USA,77.0,185.0,4,20,Guard,2,23,2.6,1.1,1.7
76085,James,Bailey,1957-05-21T00:00:00,Rutgers,USA,81.0,220.0,8,2,Forward,1,6,8.8,0.8,5.0
1847,Thurl,Bailey,1961-04-07T00:00:00,North Carolina State,USA,83.0,247.0,11,41,Forward,1,7,12.8,1.4,5.1
1753,Toby,Bailey,1975-11-19T00:00:00,UCLA,USA,78.0,213.0,2,11,Guard,2,45,3.3,0.6,1.7
203946,Cameron,Bairstow,1990-12-07T00:00:00,New Mexico,Australia,81.0,250.0,2,41,Forward-Center,2,49,1.2,0.2,1.0
1858,Mark,Baker,1969-11-11T00:00:00,Ohio State,USA,73.0,175.0,0,,Guard,Undrafted,Undrafted,0.0,0.0,0.0
2486,Maurice,Baker,1979-07-28T00:00:00,Oklahoma State,USA,74.0,200.0,1,,Guard,Undrafted,Undrafted,0.0,0.2,0.4
76089,Norm,Baker,1923-02-17T00:00:00,Victoria,Canada,72.0,180.0,0,,Guard,Undrafted,Undrafted,0.0,0.0,
1627758,Ron,Baker,1993-03-30T00:00:00,Wichita State,USA,76.0,220.0,2,,Guard,Undrafted,Undrafted,3.1,1.8,1.4
452,Vin,Baker,1971-11-23T00:00:00,Hartford,USA,83.0,240.0,12,34,Forward,1,8,15.0,1.9,7.4
1627735,Wade,Baldwin IV,1996-03-29T00:00:00,Vanderbilt,USA,76.0,200.0,2,,Guard,1,17,3.1,1.4,1.2
200764,Renaldo,Balkman,1984-07-14T00:00:00,South Carolina,USA,80.0,225.0,6,,Forward,1,20,4.0,0.6,3.5
76090,Cedric,Ball,1968-04-16T00:00:00,North Carolina-Charlotte,USA,80.0,210.0,0,44,Forward,Undrafted,Undrafted,1.1,0.0,1.6
1628366,Lonzo,Ball,1997-10-27T00:00:00,UCLA,USA,78.0,190.0,3,2,Guard,1,2,14.2,5.6,4.2
76091,Greg,Ballard,1955-01-29T00:00:00,Oregon,USA,79.0,215.0,10,42,Forward,1,4,12.4,2.2,6.1
76092,Herschel,Baltimore,1921-06-21T00:00:00,Penn State,USA,76.0,195.0,0,,Forward,Undrafted,Undrafted,2.4,0.3,
1628964,Mo,Bamba,1998-05-12T00:00:00,Texas-Austin,USA,84.0,231.0,2,5,Center,1,6,4.6,0.3,3.9
76093,Gene,Banks,1959-05-15T00:00:00,Duke,USA,79.0,215.0,5,20,Forward,2,28,11.3,2.9,5.8
2556,Marcus,Banks,1981-11-19T00:00:00,UNLV,USA,74.0,205.0,8,15,Guard,1,13,5.9,2.1,1.5
76094,Ken,Bannister,1960-04-01T00:00:00,St. Augustine's,USA,81.0,235.0,4,51,Forward,7,156,5.9,0.4,3.5
76095,Mike,Bantom,1951-12-03T00:00:00,St. Joseph's (PA),USA,81.0,200.0,8,42,Forward,1,8,12.1,2.3,6.4
76096,John,Barber,1927-06-27T00:00:00,California State-Los Angeles,USA,78.0,210.0,0,25,Forward,None,None,1.4,0.0,1.2
2571,Leandro,Barbosa,1982-11-28T00:00:00,Bauru,Brazil,75.0,194.0,14,19,Guard,1,28,10.6,2.1,2.0
76097,Stephen,Bardo,1968-04-05T00:00:00,Illinois,USA,77.0,190.0,2,25,Guard,2,41,2.2,1.3,1.8
200826,J.J.,Barea,1984-06-26T00:00:00,Northeastern,Puerto Rico,70.0,180.0,14,5,Guard,Undrafted,Undrafted,8.9,3.9,2.1
200745,Andrea,Bargnani,1985-10-26T00:00:00,Benetton Treviso,Italy,84.0,245.0,9,,Center-Forward,1,1,14.3,1.2,4.6
76098,Cliff,Barker,1921-01-15T00:00:00,Kentucky,USA,74.0,185.0,2,,Guard,5,None,3.7,2.0,1.8
76099,Tom,Barker,1955-03-11T00:00:00,Hawaii,USA,83.0,225.0,1,6,Center,4,53,6.5,0.8,5.3
